Description,Qty,Price,Amt
TOMATO,2.010,60.00,120.60
CARROT,1.030,99.00,101.97
BEETROOT,1.010,74.00,74.74
BEANS,0.25,120.00,30.00
CAPSICUMGREEN,0.340,128.00,43.52
BROCCOLI,0.260,295.00,76.70
KOVAKAI,0.260,99.00,25.74
POTATO,1.010,90.00,90.90
POTATO BABY,0.510,60.00,30.60
SEMIYA,2,55.00,110.00
THENNEERA,4,60.00,240.00
DELIVARYCHARGE,1,30.00,30.00
KOTHAVARAI,.170,93.00,15.81
CARROT,.318,99.00,31.48
BEETROOT,.252,74.00,18.65
LADIESFINGER,.196,96.00,18.82
WELEETBANANAMILLETS,1,50.00,50.00
VITRATOOTHPASTE,1,85.00,85.00
CHOCOLATEKARUPATTI,2,5.00,10.00
BANANAPOOVAN,0.510,72.00,36.72
MANJALTHOOL250G,1,130.00,130.00
THENNEERA,1,60.00,60.00
NENDRANPAZHACHIPS,1,160.00,160.00
VITRATOOTHPASTE,1,85.00,85.00
